"parts","quantity","price(usd)","price (inr)","link"
"Arms","","","",""
"pnuematic cylinders","4 (2 for each arm)","20.21333333","1516","https://www.industrybuying.com/pneumatic-cylinders-akari-PN.MA.272412?utm_source=Google&utm_medium=PLA&utm_campaign=PLA_Longtail_GSTPref_troas&gad_source=1&gad_campaignid=21344143087&gbraid=0AAAAADesIl-kPRYBk98h_0SdROEgPVcYi&gclid=CjwKCAjwl_XBBhAUEiwAWK2hzrJQLlLuelT659CypZNiftUUVhheYAHBALYdJvmmlp3KACvcFGEVaRoCGS4QAvD_BwE"
"5/2 12v solenoid valve","4 (2 for each arm)","17.33333333","1300","https://www.amazon.in/JAGAN-Single-Solenoid-Valve-4V-210-08/dp/B0B8VQCR6V"
"springs","8(4 for each arm)","10.66666667","800","https://www.amazon.in/MMTool-PRODUCTS-Tension-Spring-Extension/dp/B0DYDWV5G7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.0AzPW7ESzI9IKEVUN_B_I_wMqGqJP0cU335aDkSz1A7DZ8FmHZFOPcbA8qK6TwkM1RFXTIif-0Ghu3wtCbAsFeHuxWwQUsYCQ2AdxcfL8yJEPaDx_pht6B3zgGpTY-8JwhxSrHSohzZXGDwvoZZLYLcYNoyYeOUD-MSRX_6zMEOi08vs-sc-0nZFCkdEJ7VKPjnMWGEpLOS4SdOEGRmYRu20EskgROeAiyHIeHWEvsDa3_FrY8kQY_v7Apn7J3taefcUBFg1Gf2pxlvRgtMi0Iy-yJOjsk5af6GUTND-eV4.QxCnNUbFUvRMJ7-cFk4Otnx87WeAkILEeDCmVmAqtDQ&dib_tag=se&keywords=extension+spring+40mm+carbon+steel&qid=1748881909&sr=8-1"
"frame (steel, flatbar, squarepipe, etc)","many","6.666666667","500","local"
"aruduino uno","1","4","300","https://novo3d.in/arduino-uno/?srsltid=AfmBOoq8eH745OIiulIdVlyAVjxGj4OnNS5hgF5Gq3ABE-2-0tyBaMmSxNk"
"flex sensor","2(one for each elbow","8","600","https://www.flyrobo.in/flex-sensor-2.2-bend-sensor-for-hand-gesture-recognition?tracking=ads&srsltid=AfmBOooT43SHrfydTVpXvu2jCxwTzty0-XTDW7gMvTm7zC-yl26HLZCULHY"
"imu sensor","2 (one for each forearm)","16","1200","https://robu.in/product/gy-91-mpu9250bmp280-10dof-acceleration-gyro-9-axis-sensor-module/?gad_source=1&gad_campaignid=20363337560&gbraid=0AAAAADvLFWdj5VL9z8JLRWoc8w1ZWx-iV&gclid=CjwKCAjwl_XBBhAUEiwAWK2hzsbZghSIk7OugzWv_bn3O29W_9524h3Woly76BhfatdI426LrYFviRoCBy8QAvD_BwE"
"force sensor","2(one for each hand","8","600","https://www.amazon.in/Electronic-Spices-Sensor-Resistor-Square/dp/B0CXLWQW52?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1UUD7CBBVVXIG"
"legs","","","",""
